item_id,price,quantity,sold,title,totalSoldQuantity,url,img,titleUnderIconList
596756512990,249.00,0,4805,女装 高腰修身牛仔九分裤(水洗产品) 418865 优衣库UNIQLO,7920,//detail.m.tmall.com/item.htm?id=596756512990,//img.alicdn.com/bao/uploaded/i2/196993935/O1CN01WLLYNa1ewH4cUR532_!!0-item_pic.jpg,[]
598660368570,249.00,0,2974,女装 纽花宽松开衫(长袖) 420524 优衣库UNIQLO,4790,//detail.m.tmall.com/item.htm?id=598660368570,//img.alicdn.com/bao/uploaded/i2/196993935/O1CN01IC4B8N1ewH4fsyENO_!!0-item_pic.jpg,[]
599966412257,149.00,0,4932,女装/亲子装 (UT) R.A.BY VERDY连帽运动衫(长袖) 424570 优衣库,6424,//detail.m.tmall.com/item.htm?id=599966412257,//img.alicdn.com/bao/uploaded/i2/196993935/O1CN015xMjiB1ewH4h78s0P_!!0-item_pic.jpg,[]
587205504267,249.00,0,4099,女装 高腰修身牛仔九分裤(水洗产品) 413116 优衣库UNIQLO,36999,//detail.m.tmall.com/item.htm?id=587205504267,//img.alicdn.com/bao/uploaded/i1/196993935/O1CN01F7ZCdz1ewH4tLvbVo_!!0-item_pic.jpg,[]
603877613744,99.00,0,5118,女装 罗纹喇叭裤 422688 优衣库UNIQLO,5698,//detail.m.tmall.com/item.htm?id=603877613744,//img.alicdn.com/bao/uploaded/i3/196993935/O1CN01JIn6kq1ewH53bIxkE_!!0-item_pic.jpg,[]
595856598951,149.00,0,9478,女装 轻型无钢圈文胸(棉质) 419615 优衣库UNIQLO,36441,//detail.m.tmall.com/item.htm?id=595856598951,//img.alicdn.com/bao/uploaded/i1/196993935/O1CN01tVrZPE1ewH4UKSuQt_!!0-item_pic.jpg,[]
598109358663,299.00,0,2711,女装 高级轻型羽绒背心 419775 优衣库UNIQLO,3681,//detail.m.tmall.com/item.htm?id=598109358663,//img.alicdn.com/bao/uploaded/i1/196993935/O1CN01wjZp5s1ewH4GbVQJZ_!!0-item_pic.jpg,[]
600579280791,299.00,0,1826,女装 仿羊羔绒摇粒绒无领大衣 420714 优衣库UNIQLO,2335,//detail.m.tmall.com/item.htm?id=600579280791,//img.alicdn.com/bao/uploaded/i2/196993935/O1CN01Qah7uE1ewH5F5B3B3_!!0-item_pic.jpg,[]
600943871157,99.00,0,6366,女装 花式V领衬衫(长袖) 418414 优衣库UNIQLO,15834,//detail.m.tmall.com/item.htm?id=600943871157,//img.alicdn.com/bao/uploaded/i2/196993935/O1CN01IAnGnF1ewH4R4xSSk_!!0-item_pic.jpg,[]
596017037226,99.00,0,3547,女装 AIRism柔软紧身裤 418435 优衣库UNIQLO,9301,//detail.m.tmall.com/item.htm?id=596017037226,//img.alicdn.com/bao/uploaded/i4/196993935/O1CN01WKq4jl1ewH4cHcAuY_!!0-item_pic.jpg,[]
